ID,Yield
2845,1000
2846,1001
2847,1002
2848,1003
2849,1004
2850,1005
2851,1006
2852,1007
2853,1008
2854,1009
2855,1010
2856,1011
2857,1012
2858,1013
2859,1014
2860,1015
2861,1016
2862,1017
2863,1018
2864,1019
2865,1020
2866,1021
2867,1022
2868,1023
2869,1024
2870,1025
2871,1026
2872,1027
2873,1028
2874,1029
2875,1030
2876,1031
2877,1032
2878,1033
2879,1034
2880,1035
2881,1036
2882,1037
2883,1038
2884,1039
2885,1040
2886,1041
2887,1042
2888,1043
2889,1044
2890,1045
2891,1046
2892,1047
2893,1048
2894,1049
2895,1050
2896,1051
2897,1052
2898,1053
2899,1054
2900,1055
2901,1056
2902,1057
2903,1058
2904,1059
2905,1060
2906,1061
2907,1062
2908,1063
2909,1064
2910,1065
2911,1066
2912,1067
2913,1068
2914,1069
2915,1070
2916,1071
2917,1072
2918,1073
2919,1074
2920,1075
2921,1076
2922,1077
2923,1078
2924,1079
2925,1080
2926,1081
2927,1082
2928,1083
2929,1084
2930,1085
2931,1086
2932,1087
2933,1088
2934,1089
2935,1090
2936,1091
2937,1092
2938,1093
2939,1094
2940,1095
2941,1096
2942,1097
2943,1098
2944,1099
2945,1100
2946,1101
2947,1102
2948,1103
2949,1104
2950,1105
2951,1106
2952,1107
2953,1108
2954,1109
2955,1110
2956,1111
2957,1112
2958,1113
2959,1114
2960,1115
2961,1116
2962,1117
2963,1118
2964,1119
2965,1120
2966,1121
2967,1122
2968,1123
2969,1124
2970,1125
2971,1126
2972,1127
2973,1128
2974,1129
2975,1130
2976,1131
2977,1132
2978,1133
2979,1134
2980,1135
2981,1136
2982,1137
2983,1138
2984,1139
2985,1140
2986,1141
2987,1142
2988,1143
2989,1144
2990,1145
2991,1146
2992,1147
2993,1148
2994,1149
2995,1150
2996,1151
2997,1152
2998,1153
2999,1154
3000,1155
3001,1156
3002,1157
3003,1158
3004,1159
3005,1160
3006,1161
3007,1162
3008,1163
3009,1164
3010,1165
3011,1166
3012,1167
3013,1168
3014,1169
3015,1170
3016,1171
3017,1172
3018,1173
3019,1174
3020,1175
3021,1176
3022,1177
3023,1178
3024,1179
3025,1180
3026,1181
3027,1182
3028,1183
3029,1184
3030,1185
3031,1186
3032,1187
3033,1188
3034,1189
3035,1190
3036,1191
3037,1192
3038,1193
3039,1194
3040,1195
3041,1196
3042,1197
3043,1198
3044,1199
3045,1200
3046,1201
3047,1202
3048,1203
3049,1204
3050,1205
3051,1206
3052,1207
3053,1208
3054,1209
3055,1210
3056,1211
3057,1212
3058,1213
3059,1214
3060,1215
3061,1216
3062,1217
3063,1218
3064,1219
3065,1220
3066,1221
3067,1222
3068,1223
3069,1224
3070,1225
3071,1226
3072,1227
3073,1228
3074,1229
3075,1230
3076,1231
3077,1232
3078,1233
3079,1234
3080,1235
3081,1236
3082,1237
3083,1238
3084,1239
3085,1240
3086,1241
3087,1242
3088,1243
3089,1244
3090,1245
3091,1246
3092,1247
3093,1248
3094,1249
3095,1250
3096,1251
3097,1252
3098,1253
3099,1254
3100,1255
3101,1256
3102,1257
3103,1258
3104,1259
3105,1260
3106,1261
3107,1262
3108,1263
3109,1264
3110,1265
3111,1266
3112,1267
3113,1268
3114,1269
3115,1270
3116,1271
3117,1272
3118,1273
3119,1274
3120,1275
3121,1276
3122,1277
3123,1278
3124,1279
3125,1280
3126,1281
3127,1282
3128,1283
3129,1284
3130,1285
3131,1286
3132,1287
3133,1288
3134,1289
3135,1290
3136,1291
3137,1292
3138,1293
3139,1294
3140,1295
3141,1296
3142,1297
3143,1298
3144,1299
3145,1300
3146,1301
3147,1302
3148,1303
3149,1304
3150,1305
3151,1306
3152,1307
3153,1308
3154,1309
3155,1310
3156,1311
3157,1312
3158,1313
3159,1314
3160,1315
3161,1316
3162,1317
3163,1318
3164,1319
3165,1320
3166,1321
3167,1322
3168,1323
3169,1324
3170,1325
3171,1326
3172,1327
3173,1328
3174,1329
3175,1330
3176,1331
3177,1332
3178,1333
3179,1334
3180,1335
3181,1336
3182,1337
3183,1338
3184,1339
3185,1340
3186,1341
3187,1342
3188,1343
3189,1344
3190,1345
3191,1346
3192,1347
3193,1348
3194,1349
3195,1350
3196,1351
3197,1352
3198,1353
3199,1354
3200,1355
3201,1356
3202,1357
3203,1358
3204,1359
3205,1360
3206,1361
3207,1362
3208,1363
3209,1364
3210,1365
3211,1366
3212,1367
3213,1368
3214,1369
3215,1370
3216,1371
3217,1372
3218,1373
3219,1374
3220,1375
3221,1376
3222,1377
3223,1378
3224,1379
3225,1380
3226,1381
3227,1382
3228,1383
3229,1384
3230,1385
3231,1386
3232,1387
3233,1388
3234,1389
3235,1390
3236,1391
3237,1392
3238,1393
3239,1394
3240,1395
3241,1396
3242,1397
3243,1398
3244,1399
3245,1400
3246,1401
3247,1402
3248,1403
3249,1404
3250,1405
3251,1406
3252,1407
3253,1408
3254,1409
3255,1410
3256,1411
3257,1412
3258,1413
3259,1414
3260,1415
3261,1416
3262,1417
3263,1418
3264,1419
3265,1420
3266,1421
3267,1422
3268,1423
3269,1424
3270,1425
3271,1426
3272,1427
3273,1428
3274,1429
3275,1430
3276,1431
3277,1432
3278,1433
3279,1434
3280,1435
3281,1436
